grid_x,grid_y,death_count
0,0,0
6278,3784,1386
4379,6230,1311
4185,3244,1179
6278,3785,1126
4185,3245,1123
4209,3245,1112
4209,3244,1086
4310,6289,1048
4254,3269,1018
4378,6230,991
4199,3247,967
4312,6286,954
4234,3248,945
4198,3248,940
4463,6294,932
4376,6233,903
4380,6231,899
4377,6233,877
4313,6285,867
4311,6286,867
4378,6233,845
4377,6231,832
4515,6294,826
4198,3247,823
4232,3245,814
4209,3246,812
4515,6295,806
4313,6286,801
4309,6288,790
4464,6209,773
4376,6232,761
4186,3243,756
4211,3244,743
4310,6287,742
4234,3249,729
4207,3246,722
4376,6234,720
4238,3270,720
4200,3247,717
4379,6232,717
4209,3248,710
4206,3247,708
4254,3268,708
4235,3265,699
4233,3247,697
4185,3246,689
6271,3785,682
4239,3270,679
4207,3247,678
4207,3248,670
6272,3785,662
6273,3784,654
4205,3247,654
4234,3247,652
4205,3248,651
4211,3245,649
6277,3785,649
4232,3246,647
6271,3784,644
4311,6289,644
4224,3248,641
4209,3247,640
4313,6287,640
4233,3246,639
4380,6230,637
4516,6294,637
4462,6294,633
4186,3245,632
4186,3244,631
4209,3249,631
4208,3245,628
4209,3243,628
4233,3245,625
4208,3247,625
4199,3246,623
4310,6288,622
4450,6278,620
4232,3247,620
4230,3248,617
4233,3248,614
4185,3243,612
6272,3784,612
4464,6208,612
4240,3254,610
4463,6295,604
4239,3254,602
4463,6209,600
4210,3245,600
4209,3250,599
4232,3248,598
4235,3248,595
4214,3248,592
4235,3249,592
4371,6236,591
4200,3273,587
4312,6288,586
4221,3244,585
4514,6294,581
4208,3246,580
6277,3783,579
6276,3786,569
4205,3246,565
4462,6293,557
6272,3786,556
4206,3246,554
4199,3248,549
6276,3783,547
4231,3247,542
4234,3246,541
4311,6287,540
4312,6285,539
4464,6294,538
4378,6232,536
4211,3246,536
4254,3270,533
4240,3270,533
6277,3786,531
4207,3249,529
4468,6296,527
4379,6231,526
4206,3245,524
4231,3246,514
6273,3785,513
6275,3783,509
4451,6227,508
4186,3246,505
6275,3786,500
4055,3087,500
4199,3273,500
4513,6294,499
4379,6229,498
4236,3265,494
4201,3247,492
4187,3243,491
4372,6236,486
6273,3786,486
4373,6235,483
6232,3786,483
4449,6278,482
6270,3784,481
4450,6279,479
4515,6296,477
4510,6296,476
4208,3243,476
4209,3251,475
4235,3250,475
4464,6292,474
4372,6235,472
4204,3248,471
4205,3249,467
4224,3247,466
4235,3279,466
4463,6210,464
6271,3786,463
4204,3247,461
4197,3248,461
4230,3247,461
4198,3249,461
4187,3242,459
4230,3246,458
4464,6293,457
6278,3783,457
4474,6295,453
4198,3246,452
4377,6234,450
4516,6293,448
4210,3246,448
4464,6289,447
4207,3250,445
6277,3784,445
6276,3785,444
4202,3263,441
6274,3783,439
4231,3248,437
4234,3265,437
4211,3243,437
4465,6209,435
4233,3244,434
4463,6293,433
4214,3249,432
4186,3247,432
4468,6295,430
4450,6280,430
4230,3249,428
4469,6208,428
4206,3244,427
4207,3251,427
4316,6283,427
4464,6210,424
4638,6501,423
4475,6295,420
4204,3254,419
4214,3247,419
4188,3242,416
4463,6296,416
4188,3243,414
4198,3243,414
6274,3786,413
4639,6501,412
4240,3271,411
4204,3268,410
4465,6294,409
4186,3242,409
4232,3249,409
4466,6209,409
6269,3783,406
4210,3247,406
4253,3270,405
4224,3249,405
4230,3245,405
4449,6268,405
4516,6209,404
4374,6235,404
4197,3247,403
4508,6294,403
4640,6500,403
4211,3247,403
4234,3245,401
4235,3247,401
4473,6295,400
4236,3266,399
4516,6210,399
4229,3246,398
4464,6291,398
4640,6495,398
4309,6289,397
4474,6292,397
4208,3248,395
4203,3248,394
4208,3252,394
4207,3245,393
4232,3250,393
4187,3244,392
4205,3254,392
4449,6237,392
6275,3785,391
4189,3242,389
4464,6207,388
4212,3245,388
4207,3252,387
4230,3244,387
4469,6207,385
4212,3246,384
4462,6292,384
4452,6262,384
4203,3267,381
4231,3245,381
4204,3249,381
6274,3784,379
4512,6294,378
4467,6297,377
4516,6295,376
4204,3246,376
6273,3783,376
4471,6295,376
4451,6278,375
4209,3252,373
4185,3247,370
4510,6295,370
4512,6206,368
4451,6279,368
4237,3269,368
3626,3935,368
4232,3244,367
4215,3247,367
6229,3785,366
4237,3270,365
4236,3249,365
4511,6294,365
4460,6294,363
4203,3268,363
4230,3252,362
4505,6211,360
4511,6207,360
4203,3247,359
4215,3248,359
4510,6292,358
4378,6231,358
4476,6295,358
4225,3247,357
4236,3279,356
4464,6290,356
4510,6294,355
4210,3244,354
4450,6281,353
4638,6502,352
4233,3243,352
4324,6370,352
4212,3243,351
6269,3784,350
4514,6293,350
4203,3265,349
4373,6236,348
4451,6226,348
4208,3242,347
6232,3785,346
4238,3271,346
4316,6282,345
4202,3247,345
4198,3268,344
4234,3243,343
4209,3242,343
4468,6297,343
4190,3242,343
6274,3785,342
4517,6295,342
4252,3270,341
4241,3270,341
4477,6293,341
4197,3242,339
4230,3250,339
6274,3788,338
4516,6292,337
4187,3245,337
4185,3242,337
4199,3245,336
4254,3267,336
4253,3269,336
4470,6294,336
6275,3784,334
4474,6208,334
4202,3265,334
4236,3248,333
4450,6226,333
4511,6208,333
6276,3784,332
4510,6293,332
4214,3246,331
6262,3783,331
4505,6212,331
4221,3245,331
4204,3250,331
4641,6495,330
4235,3251,330
4189,3243,330
4463,6289,330
4466,6294,330
4208,3244,329
4466,6295,328
4639,6502,327
4465,6210,327
6264,3785,326
4469,6209,326
4217,3248,326
4641,6501,325
4192,3242,325
4201,3246,324
4234,3254,324
3924,2869,322
4509,6209,322
4509,6294,322
6264,3784,322
4450,6227,322
4640,6501,322
6273,3788,321
4228,3246,321
4372,6237,321
4451,6281,320
6278,3786,320
4212,3247,320
5507,5610,320
4203,3249,319
4474,6291,319
4235,3254,319
4203,3263,319
4450,6224,318
3923,2876,318
4191,3242,318
4197,3249,318
4207,3243,317
4465,6292,317
4452,6230,317
4509,6210,317
6267,3784,317
4463,6211,316
4208,3253,316
3923,2869,316
4324,6372,316
4210,3243,316
4450,6237,315
4491,6292,314
4515,6209,314
4236,3250,313
4205,3245,313
4473,6293,313
4198,3242,313
4202,3262,312
4203,3246,312
4507,6294,312
4235,3246,312
4317,6282,312
4228,3247,312
4201,3273,311
4202,3264,311
4217,3249,311
4199,3268,311
4213,3246,311
4236,3263,311
4462,6291,310
4469,6294,310
4223,3247,309
4196,3242,309
4449,6273,309
6279,3785,309
4216,3247,309
6873,4618,308
4238,3254,308
4477,6294,308
4472,6295,308
6228,3785,306
4200,3246,306
4468,6294,305
4515,6210,305
4508,6210,303
6230,3785,303
6231,3785,303
4469,6210,302
4469,6206,302
3626,3934,301
4229,3248,301
4510,6297,301
4515,6289,301
4230,3251,300
4374,6234,300
4211,3242,299
4469,6211,299
4199,3269,299
4469,6295,299
4215,3246,298
4204,3253,298
6233,3786,297
4196,3248,297
4511,6295,297
4229,3247,296
5739,3830,296
6269,3782,295
4243,3268,295
4362,6244,295
4236,3253,294
4212,3244,293
4227,3246,293
4224,3246,292
4234,3263,292
4479,6292,292
4241,3254,292
4465,6293,292
4499,6296,292
4206,3248,292
4237,3271,292
4202,3259,291
6272,3787,291
4201,3272,291
4314,6286,291
4462,6295,290
4242,3270,290
4479,6293,290
6271,3787,289
4213,3241,289
4375,6233,289
5704,3888,289
4193,3243,289
4231,3252,288
4488,6211,288
4418,3382,288
4467,6294,288
4207,3244,288
4467,6209,287
6268,3784,287
4517,6210,287
6270,3785,286
4375,6402,286
4474,6207,286
4236,3251,286
4217,3247,286
4200,3269,285
4511,6206,285
4418,3383,284
6279,3784,284
4197,3243,284
4448,6278,283
4324,6371,283
4508,6295,283
4375,6232,283
4202,3267,283
4213,3247,282
4510,6209,282
4188,3246,282
4451,6224,282
4203,3262,282
4505,6294,282
4326,6380,281
6264,3783,281
4226,3246,281
4507,6210,281
4462,6290,281
4184,3246,281
4504,6293,280
4460,6295,280
4205,3250,280
4461,6295,280
4512,6297,280
4641,6502,280
4202,3248,280
4451,6262,279
3630,3940,279
4476,6294,279
4202,3257,279
6270,3783,279
4187,3246,279
4213,3249,278
4371,6237,278
4492,6291,278
4193,3242,278
4466,6210,277
6263,3784,277
4202,3268,277
4470,6209,276
4225,3248,276
4500,6211,276
6848,4625,276
4203,3250,275
4233,3249,275
4464,6215,275
4184,3245,275
4470,6295,275
4198,3269,274
4419,3382,274
4505,6295,274
4201,3248,274
4225,3249,274
4450,6236,274
4235,3253,274
4207,3253,274
6266,3784,273
6263,3783,273
4506,6210,273
4468,6209,273
4467,6295,273
4450,6238,273
6271,3781,272
4515,6293,272
4226,3247,272
4243,3267,272
3628,3937,271
4207,3242,271
6265,3784,270
4448,6231,270
4461,6210,270
4451,6234,270
4206,3243,270
4474,6293,269
4363,6243,269
4203,3266,269
4323,6355,268
4513,6293,268
4236,3264,268
4514,6289,268
4238,3269,268
4203,3251,268
4234,3244,268
4201,3263,267
4514,6209,267
4197,3244,267
4474,6296,266
4449,6266,266
6227,3785,266
4234,3242,266
4225,3246,265
4204,3245,265
4236,3254,265
4198,3244,265
4468,6292,265
4251,3270,265
4234,3279,264
4202,3266,264
4463,6213,264
4511,6293,264
3453,5595,264
4451,6268,263
4237,3267,263
6261,3783,263
4512,6295,263
4450,6274,263
4448,6273,263
4375,6235,262
4473,6296,262
4237,3255,262
6852,4602,262
4325,6373,261
4419,3389,261
4511,6209,261
4452,6242,261
4202,3246,261
4237,3265,260
4467,6293,260
4184,3243,260
4190,3243,259
4236,3255,259
4473,6294,259
4453,6262,259
6268,3785,259
4467,6210,259
4504,6296,259
4228,3249,259
4216,3246,259
4450,6268,258
4478,6293,258
4474,6209,258
5745,3818,258
3923,2870,258
4232,3251,258
6268,3783,258
4486,6208,257
4516,6291,257
4237,3268,257
4467,6298,257
6234,3786,256
4235,3252,256
6255,3783,256
4451,6228,256
4453,6268,256
4235,3263,256
4203,3254,255
4500,6208,255
6267,3785,255
4228,3245,255
4465,6211,255
4506,6293,254
6272,3788,254
4203,3253,254
4236,3252,253
6275,3788,253
4507,6293,253
4202,3261,253
4227,3247,253
4234,3250,253
4508,6208,253
4198,3273,253
4221,3243,253
3627,3936,252
4234,3266,251
4356,3383,251
6265,3783,251
3643,3980,251
4467,6202,251
4514,6290,251
4514,6292,251
4512,6205,250
4463,6212,250
6269,3781,250
4324,6373,250
4465,6214,250
4516,6208,250
