"match_id","party_size","killed_by","map","victim_position_x","victim_position_y","rankrate"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","DP-28","ERANGEL","214551.6","396618.6","0.58"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","UMP9","ERANGEL","419533.7","324405.2","0.9"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","AKM","ERANGEL","151819.9","318201.5","0.52"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","UMP9","ERANGEL","420697.6","324632.2","0.68"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","S1897","ERANGEL","363759.3","409656.9","0.66"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","Kar98k","ERANGEL","588373.8","461860.8","0.1"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","UMP9","ERANGEL","420889.3","325676.9","0.8"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","Hit by Car","ERANGEL","707533.0","473882.2","0.32"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","Bluezone","ERANGEL","534093.8","488533.1","0.06"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","M16A4","ERANGEL","531980.9","488384.2","0.09"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","M416","ERANGEL","214975.0","396462.9","0.49"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","Drown","ERANGEL","0.0","0.0","0.94"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","SCAR-L","ERANGEL","212077.8","469022.9","0.54"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","AKM","ERANGEL","157439.0","413252.9","0.89"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","Grenade","ERANGEL","548893.1","422172.9","0.18"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","M16A4","ERANGEL","363263.9","391422.2","0.62"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","M16A4","ERANGEL","415792.8","481478.4","0.28"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","AKM","ERANGEL","622662.4","369248.5","0.44"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","M416","ERANGEL","647679.6","365174.8","0.31"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","UMP9","ERANGEL","657128.0","353059.1","0.51"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","P92","ERANGEL","389139.3","282782.3","0.61"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","S12K","ERANGEL","625583.2","378396.2","0.79"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","SCAR-L","ERANGEL","331886.6","354192.6","0.37"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","M16A4","ERANGEL","499227.1","474370.7","0.16"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","S12K","ERANGEL","202786.4","285806.0","0.91"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","M16A4","ERANGEL","242202.9","285543.0","0.46"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","AKM","ERANGEL","195654.2","279097.0","0.63"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","AUG","ERANGEL","629127.9","387243.1","0.3"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","M16A4","ERANGEL","519926.0","485080.4","0.12"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","Bluezone","ERANGEL","447878.3","484451.6","0.14"
"2U4GBNA0Ymk0Kwrxyz3RxFBJu4_1nCu4P9Od_HNVN2v9k8sGshzNEtJsoXk1R0K_","1","S12K","ERANGEL","361724.0","392747.7","0.38"
